Timestamp,Open,High,Low,Close,Volume,EMA_open,EMA_close,Target,Trade_on,Port_change,Port
2024-02-17 01:00:00,2796.15,2797.36,2787.93,2790.81,3804.5143,2796.15,2790.81,,0,0.0,100.0
2024-02-17 02:00:00,2786.72,2794.46,2785.66,2790.03,3772.5146,2786.72,2790.03,-1.0,0,0.000279488750577698,100.02794887505777
2024-02-17 03:00:00,2788.79,2792.32,2785.45,2787.16,3008.6703,2788.79,2787.16,-1.0,1,-0.0009713372257644738,99.93078800469856
2024-02-17 04:00:00,2793.39,2794.37,2788.63,2788.63,3204.7169,2793.39,2788.63,-1.0,0,-0.0005274185909672407,99.87808264929487
2024-02-17 05:00:00,2793.32,2794.8,2778.99,2782.0,5904.6181,2793.32,2782.0,-1.0,0,0.002377511537923679,100.11554394317925
2024-02-17 06:00:00,2785.15,2788.7,2783.0,2787.66,2386.436,2785.15,2787.66,-1.0,0,-0.0020345075485261876,99.91185811330206
2024-02-17 07:00:00,2787.09,2792.71,2786.0,2792.27,1909.8705,2787.09,2792.27,-1.0,1,-0.0036537167373353018,99.54680848505521
2024-02-17 08:00:00,2795.56,2795.57,2781.47,2783.03,7728.1356,2795.56,2783.03,-1.0,1,0.001309135577863094,99.67712875370573
2024-02-17 09:00:00,2774.99,2780.0,2768.06,2776.41,5441.6842,2774.99,2776.41,-1.0,0,0.0023787023495975054,99.91423097407332
2024-02-17 10:00:00,2775.38,2778.51,2765.22,2768.82,6987.6402,2775.38,2768.82,-1.0,1,0.0007337460965778438,99.98754265104313
2024-02-17 11:00:00,2780.01,2783.36,2778.2,2780.06,3133.2555,2780.01,2780.06,-1.0,0,-0.004059491046727408,99.58164411686694
2024-02-17 12:00:00,2780.58,2782.8,2776.69,2776.95,2909.6359,2780.58,2776.95,-1.0,1,-0.0008813191082206401,99.49388091107872
2024-02-17 13:00:00,2782.99,2783.2,2756.0,2759.78,9257.6862,2782.99,2759.78,-1.0,0,0.006183042546678773,100.10905580988609
2024-02-17 14:00:00,2743.6,2754.73,2742.22,2745.9,5895.9344,2743.6,2745.9,-1.0,0,0.0050293864003652855,100.61254293372974
2024-02-17 15:00:00,2739.99,2748.2,2731.01,2746.4,8038.0136,2739.99,2746.4,-1.0,1,-0.0021820896609490515,100.39299734403227
2024-02-17 16:00:00,2754.33,2754.34,2742.73,2749.16,4421.1478,2754.33,2749.16,-1.0,1,-0.003004951937081184,100.09132121219393
2024-02-17 17:00:00,2755.33,2766.0,2755.32,2759.91,8911.881,2755.33,2759.91,-1.0,0,-0.003910285323517002,99.69993558784645
2024-02-17 18:00:00,2768.48,2771.88,2765.09,2771.58,3161.8203,2768.48,2771.58,-1.0,1,-0.0062283987521332485,99.07896463344336
2024-02-17 19:00:00,2769.31,2776.74,2767.74,2773.67,2919.0198,2769.31,2773.67,-1.0,1,-0.0027540825088938964,98.80609298994708
