Date,Open_ma,Close_ma,Performance,Buy_and_hold_performance,Superiority,Volatility,Sharpe_ratio,Max_drawdown,Sortino_ratio,Calmar_ratio,Number_of_trades
2024-02-26 23:35:24.657210,2,3,1.1782651790135525,1.044409632268758,0.12816383783633034,0.044225181100352354,403.08524369645215,-0.002212929578839673,2507.6942535675066,-8055.619153819803,38
2024-02-27 00:02:50.476763,2,3,1.1725262952998217,1.0426913204536212,0.12451909045307485,0.04471891361997495,385.8016247129001,-0.002809551255246734,2231.5787208911183,-6140.706455439644,40
2024-02-27 00:03:39.645441,2,3,1.1726817111084298,1.0428292506543453,0.1245193883587421,0.044693229649876445,386.3710733397564,-0.002677375831506401,2276.3847345081304,-6449.662728570761,40
2024-02-26 00:04:35.693363,2,1,1.093419803417116,1.056120178450448,0.03531759522045541,0.03504044021481694,266.60567859422395,-0.005663647574837727,670.456753230616,-1649.4635688872763,36
2024-02-27 00:05:26.948068,2,3,1.1723087544468695,1.0424982548074548,0.12451867333187061,0.04475664019801315,384.9903694391224,-0.002994561742128976,2161.791126813734,-5754.055828028015,40
2024-02-27 00:06:13.013511,1,1,1.1757225807957588,1.0420688943951075,0.12825801357234967,0.04509056377831226,389.7103208992878,-0.002212929578839673,1951.2191451458796,-7940.721768828138,40
2024-02-27 00:06:51.037824,2,3,1.1723960597417449,1.0425757375098537,0.12451884075296182,0.044741250855405645,385.31792573008914,-0.002920311802896647,2190.6417483124287,-5903.3442788795965,40
2024-02-27 00:08:14.341036,1,1,1.1757668023883097,1.0420296951083148,0.12834289455262926,0.04508666787510603,389.8420767646854,-0.002212929578839673,1951.7101806042897,-7942.7200968804045,40
2024-02-27 00:08:49.910206,1,1,1.1760598220996983,1.0417699540397531,0.1289054916003276,0.04506301742095449,390.69692216799865,-0.002212929578839673,1954.9638641558145,-7955.96135472207,40
2024-02-27 22:44:02.954786,3,3,1.2561941626313158,1.0627713356036093,0.18199853585423487,0.027076085948290526,946.2008767463337,-0.16726623023259857,1968.75166720535,-153.16550284839627,446
2024-02-27 22:45:51.613933,3,3,1.251474038358673,1.0636635719231247,0.17656942607894655,0.027099756757244898,927.9568101342591,-0.16714719470232464,1932.4571525294825,-150.45064848771622,448
